word,count,frequency_rank,train_count,standard_frequency_rank
riche,3,538,3,538
rose,3,539,3,539
région,3,540,3,540
répéta,3,541,3,541
réussi,3,542,3,542
réussis,3,543,3,543
saluer,3,544,3,544
savoir,3,545,3,545
seau,3,546,3,546
secret,3,547,3,547
serré,3,548,3,548
servent,3,549,3,549
seulement,3,550,3,550
signifie,3,551,3,551
simplement,3,552,3,552
soi,3,553,3,553
tirer,3,554,3,554
toilette,3,555,3,555
tort,3,556,3,556
troupeau,3,557,3,557
trouve,3,558,3,558
trésor,3,559,3,559
vais,3,560,3,560
voix,3,561,3,561
voudras,3,562,3,562
voulais,3,563,3,563
voyais,3,564,3,564
écouter,3,565,3,565
écria,3,566,3,566
éléphant,3,567,3,567
éteindre,3,568,3,568
-dessus,2,569,2,569
-on,2,570,2,570
2,2,571,2,571
abandonnée,2,572,2,572
abri,2,573,2,573
absolu,2,574,2,574
activité,2,575,2,575
additions,2,576,2,576
adieu,2,577,2,577
admire,2,578,2,578
admirer,2,579,2,579
afin,2,580,2,580
aimes,2,581,2,581
allons,2,582,2,582
allume,2,583,2,583
amis,2,584,2,584
anniversaire,2,585,2,585
apparaître,2,586,2,586
apparition,2,587,2,587
arbre,2,588,2,588
arracher,2,589,2,589
assister,2,590,2,590
assit,2,591,2,591
aucune,2,592,2,592
auprès,2,593,2,593
aurait,2,594,2,594
auriez,2,595,2,595
autrefois,2,596,2,596
avions,2,597,2,597
beauté,2,598,2,598
bizarres,2,599,2,599
bois,2,600,2,600
bon,2,601,2,601
bonsoir,2,602,2,602
bouger,2,603,2,603
bouteilles,2,604,2,604
bâilla,2,605,2,605
bêtes,2,606,2,606
cache,2,607,2,607
calcul,2,608,2,608
carrière,2,609,2,609
chacun,2,610,2,610
chagrin,2,611,2,611
champignon,2,612,2,612
changer,2,613,2,613
chant,2,614,2,614
cherché,2,615,2,615
cheveux,2,616,2,616
chiffres,2,617,2,617
chute,2,618,2,618
cinquième,2,619,2,619
collection,2,620,2,620
commence,2,621,2,621
commencer,2,622,2,622
commença,2,623,2,623
comprends,2,624,2,624
comprennent,2,625,2,625
compte,2,626,2,626
conditions,2,627,2,627
confia,2,628,2,628
confus,2,629,2,629
conseilla,2,630,2,630
consolé,2,631,2,631
conséquent,2,632,2,632
cornes,2,633,2,633
costume,2,634,2,634
cou,2,635,2,635
couche,2,636,2,636
couleurs,2,637,2,637
courants,2,638,2,638
crains,2,639,2,639
croient,2,640,2,640
croyait,2,641,2,641
cueillir,2,642,2,642
debout,2,643,2,643
demain,2,644,2,644
demi,2,645,2,645
dois,2,646,2,646
donnait,2,647,2,647
donne,2,648,2,648
donnée,2,649,2,649
dont,2,650,2,650
dorment,2,651,2,651
dormi,2,652,2,652
dormir,2,653,2,653
doute,2,654,2,654
douze,2,655,2,655
drame,2,656,2,656
décidé,2,657,2,657
découragé,2,658,2,658
déjeuner,2,659,2,659
démonstration,2,660,2,660
désirait,2,661,2,661
détails,2,662,2,662
effet,2,663,2,663
embaumait,2,664,2,664
endroit,2,665,2,665
enferme,2,666,2,666
enquit,2,667,2,667
entends,2,668,2,668
envie,2,669,2,669
essayer,2,670,2,670
eus,2,671,2,671
eusse,2,672,2,672
exercice,2,673,2,673
exiger,2,674,2,674
eût,2,675,2,675
faim,2,676,2,676
faites,2,677,2,677
fallait,2,678,2,678
fallut,2,679,2,679
fatigué,2,680,2,680
favorables,2,681,2,681
façon,2,682,2,682
fermé,2,683,2,683
fidèle,2,684,2,684
front,2,685,2,685
garçon,2,686,2,686
gens,2,687,2,687
gentil,2,688,2,688
geste,2,689,2,689
graine,2,690,2,690
grammaire,2,691,2,691
grave,2,692,2,692
gros,2,693,2,693
grosses,2,694,2,694
gémit,2,695,2,695
habillé,2,696,2,696
hein,2,697,2,697
heure,2,698,2,698
horreur,2,699,2,699
huit,2,700,2,700
hum,2,701,2,701
hâta,2,702,2,702
hésita,2,703,2,703
idées,2,704,2,704
image,2,705,2,705
imaginez,2,706,2,706
informa,2,707,2,707
installé,2,708,2,708
instant,2,709,2,709
intéresser,2,710,2,710
invisible,2,711,2,711
ira,2,712,2,712
irrité,2,713,2,713
jeter,2,714,2,714
jeune,2,715,2,715
journée,2,716,2,716
justice,2,717,2,717
laisser,2,718,2,718
laissé,2,719,2,719
larmes,2,720,2,720
leva,2,721,2,721
long,2,722,2,722
lumière,2,723,2,723
lune,2,724,2,724
lèvres,2,725,2,725
machine,2,726,2,726
main,2,727,2,727
manteau,2,728,2,728
mauvaise,2,729,2,729
meurt,2,730,2,730
miel,2,731,2,731
milieu,2,732,2,732
ministre,2,733,2,733
modestement,2,734,2,734
monsieur,2,735,2,735
musique,2,736,2,736
mystérieux,2,737,2,737
mélancolique,2,738,2,738
métier,2,739,2,739
nouvel,2,740,2,740
noël,2,741,2,741
née,2,742,2,742
obéissent,2,743,2,743
occupation,2,744,2,744
occupe,2,745,2,745
occupé,2,746,2,746
oeil,2,747,2,747
ordres,2,748,2,748
oreilles,2,749,2,749
oublié,2,750,2,750
papillons,2,751,2,751
paraissait,2,752,2,752
paravent,2,753,2,753
paresseux,2,754,2,754
parlais,2,755,2,755
parles,2,756,2,756
pars,2,757,2,757
partir,2,758,2,758
passe,2,759,2,759
peintre,2,760,2,760
pencha,2,761,2,761
perdu,2,762,2,762
peuple,2,763,2,763
plaît,2,764,2,764
plongea,2,765,2,765
possédait,2,766,2,766
première,2,767,2,767
prenne,2,768,2,768
preuve,2,769,2,769
prit,2,770,2,770
problème,2,771,2,771
promesse,2,772,2,772
protéger,2,773,2,773
présence,2,774,2,774
puisqu,2,775,2,775
put,2,776,2,776
pétales,2,777,2,777
quatrième,2,778,2,778
quel,2,779,2,779
quinze,2,780,2,780
raconté,2,781,2,781
raisonnables,2,782,2,782
ralluma,2,783,2,783
rallumer,2,784,2,784
ramona,2,785,2,785
ramone,2,786,2,786
rat,2,787,2,787
ravissant,2,788,2,788
rayonne,2,789,2,789
recommença,2,790,2,790
refis,2,791,2,791
regardai,2,792,2,792
regardais,2,793,2,793
regardant,2,794,2,794
regarderas,2,795,2,795
regardé,2,796,2,796
regrettait,2,797,2,797
rejoindre,2,798,2,798
remarqua,2,799,2,799
remettre,2,800,2,800
repartir,2,801,2,801
reprit,2,802,2,802
responsable,2,803,2,803
reste,2,804,2,804
rois,2,805,2,805
roses,2,806,2,806
route,2,807,2,807
réflexions,2,808,2,808
régulièrement,2,809,2,809
répliqua,2,810,2,810
répondait,2,811,2,811
répondre,2,812,2,812
réponse,2,813,2,813
réverbères,2,814,2,814
révélé,2,815,2,815
rêvasser,2,816,2,816
rêve,2,817,2,817
sahariens,2,818,2,818
salua,2,819,2,819
sauf,2,820,2,820
semaine,2,821,2,821
semblable,2,822,2,822
sentait,2,823,2,823
sentiment,2,824,2,824
servi,2,825,2,825
servir,2,826,2,826
simple,2,827,2,827
simples,2,828,2,828
sire,2,829,2,829
soigneusement,2,830,2,830
sortis,2,831,2,831
soucieux,2,832,2,832
soulevant,2,833,2,833
soupir,2,834,2,834
sourit,2,835,2,835
souvenirs,2,836,2,836
stupéfait,2,837,2,837
sujet,2,838,2,838
surtout,2,839,2,839
sûrement,2,840,2,840
terribles,2,841,2,841
timidement,2,842,2,842
tomba,2,843,2,843
tombe,2,844,2,844
tranquille,2,845,2,845
travaillé,2,846,2,846
troisième,2,847,2,847
trouva,2,848,2,848
trouvent,2,849,2,849
trouves,2,850,2,850
trouvé,2,851,2,851
turc,2,852,2,852
tâche,2,853,2,853
télescope,2,854,2,854
uns,2,855,2,855
venin,2,856,2,856
venir,2,857,2,857
verras,2,858,2,858
verre,2,859,2,859
vieille,2,860,2,860
village,2,861,2,861
voici,2,862,2,862
vois,2,863,2,863
volcan,2,864,2,864
votre,2,865,2,865
voulut,2,866,2,866
voyagent,2,867,2,867
vécu,2,868,2,868
véritablement,2,869,2,869
ç,2,870,2,870
éclat,2,871,2,871
écorce,2,872,2,872
égaré,2,873,2,873
éléphants,2,874,2,874
épaules,2,875,2,875
éprouve,2,876,2,876
éruptions,2,877,2,877
étaient,2,878,2,878
éteignaient,2,879,2,879
éteignit,2,880,2,880
-bas,1,881,1,881
-chose,1,882,1,882
-confidence,1,883,1,883
-d,1,884,1,884
-dire,1,885,1,885
-douze,1,886,1,886
-en,1,887,1,887
-haut,1,888,1,888
-huit,1,889,1,889
-nez,1,890,1,890
-six,1,891,1,891
-sourire,1,892,1,892
-toi,1,893,1,893
-unis,1,894,1,894
-à,1,895,1,895
1909,1,896,1,896
1920,1,897,1,897
325,1,898,1,898
3251,1,899,1,899
326,1,900,1,900
327,1,901,1,901
328,1,902,1,902
329,1,903,1,903
330,1,904,1,904
abaissai,1,905,1,905
abandonné,1,906,1,906
abeilles,1,907,1,907
aborda,1,908,1,908
absence,1,909,1,909
abîme,1,910,1,910
acclame,1,911,1,911
accord,1,912,1,912
acheter,1,913,1,913
acheté,1,914,1,914
acheva,1,915,1,915
achevé,1,916,1,916
actes,1,917,1,917
addition,1,918,1,918
admirateur,1,919,1,919
admirateurs,1,920,1,920
admiration,1,921,1,921
admires,1,922,1,922
agacé,1,923,1,923
agaçant,1,924,1,924
agissait,1,925,1,925
agisse,1,926,1,926
agitent,1,927,1,927
aider,1,928,1,928
aies,1,929,1,929
aille,1,930,1,930
aima,1,931,1,931
aiment,1,932,1,932
aimer,1,933,1,933
aimeras,1,934,1,934
aimez,1,935,1,935
ajoutai,1,936,1,936
ajoutais,1,937,1,937
ajouter,1,938,1,938
ajouté,1,939,1,939
ajustait,1,940,1,940
aliment,1,941,1,941
allais,1,942,1,942
allait,1,943,1,943
allumais,1,944,1,944
allé,1,945,1,945
