word,count,frequency_rank,train_count,standard_frequency_rank
gémit,2,827,2,695
habiller,2,828,1,1369
habillé,2,829,2,696
haute,2,830,0,
hein,2,831,2,697
horreur,2,832,2,699
huit,2,833,2,700
hum,2,834,2,701
hâta,2,835,2,702
hésita,2,836,2,703
idées,2,837,2,704
ignore,2,838,1,1394
image,2,839,2,705
imaginez,2,840,2,706
informa,2,841,2,707
installé,2,842,2,708
instant,2,843,2,709
interrogea,2,844,1,1421
intrigué,2,845,1,1425
intéresser,2,846,2,710
inutile,2,847,0,
ira,2,848,2,712
irrité,2,849,2,713
ivrognes,2,850,0,
jeter,2,851,2,714
jeudi,2,852,0,
jeune,2,853,2,715
journée,2,854,2,716
justice,2,855,2,717
laisser,2,856,2,718
laissé,2,857,2,719
larmes,2,858,2,720
lendemain,2,859,1,1457
liens,2,860,0,
lumière,2,861,2,723
lèvres,2,862,2,725
machine,2,863,2,726
main,2,864,2,727
malheureux,2,865,1,1480
manque,2,866,1,1484
manquent,2,867,0,
manteau,2,868,2,728
marchands,2,869,0,
marché,2,870,1,1490
mauvais,2,871,1,1493
mauvaise,2,872,2,729
mers,2,873,0,
merveilleux,2,874,0,
meurt,2,875,2,730
miel,2,876,2,731
milieu,2,877,2,732
milliards,2,878,0,
ministre,2,879,2,733
modestement,2,880,2,734
moralité,2,881,0,
mystérieux,2,882,2,737
mélancolique,2,883,2,738
mêmes,2,884,1,1538
nord,2,885,0,
note,2,886,0,
notre,2,887,1,1553
nouvel,2,888,2,740
noël,2,889,2,741
née,2,890,2,742
obéissent,2,891,2,743
occupation,2,892,2,744
occupe,2,893,2,745
occupé,2,894,2,746
océan,2,895,1,1564
océans,2,896,0,
ordinaire,2,897,0,
ordres,2,898,2,748
oreilles,2,899,2,749
ouvert,2,900,1,1584
paraissait,2,901,2,752
paraît,2,902,1,1591
paresseux,2,903,2,754
parlais,2,904,2,755
parlait,2,905,1,1595
parlant,2,906,1,1596
pars,2,907,2,757
partir,2,908,2,758
parut,2,909,1,1602
passe,2,910,2,759
peintre,2,911,2,760
pencha,2,912,2,761
pensa,2,913,1,1615
peuple,2,914,2,763
pierre,2,915,1,1625
pierres,2,916,1,1626
plongea,2,917,2,765
poliment,2,918,0,
possédait,2,919,2,766
pourras,2,920,1,1652
poursuivent,2,921,0,
prend,2,922,1,1662
prenne,2,923,2,768
preuve,2,924,2,769
preuves,2,925,0,
prit,2,926,2,770
problème,2,927,2,771
prochaine,2,928,0,
promesse,2,929,2,772
protéger,2,930,2,773
présence,2,931,2,774
puisqu,2,932,2,775
puissant,2,933,0,
puisse,2,934,1,1682
put,2,935,2,776
pôle,2,936,0,
quatrième,2,937,2,778
quinze,2,938,2,780
racines,2,939,1,1691
raisonnables,2,940,2,782
ralluma,2,941,2,783
rallumer,2,942,2,784
ramona,2,943,2,785
ramone,2,944,2,786
rare,2,945,0,
rat,2,946,2,787
ravissant,2,947,2,788
rayonne,2,948,2,789
recommença,2,949,2,790
refis,2,950,2,791
regardai,2,951,2,792
regardais,2,952,2,793
regardant,2,953,2,794
regarderai,2,954,1,1723
regarderas,2,955,2,795
regardé,2,956,2,796
regret,2,957,1,1725
regrettait,2,958,2,797
rejoindre,2,959,2,798
remarqua,2,960,2,799
remettre,2,961,2,800
renoncé,2,962,1,1736
rentrer,2,963,1,1739
repartir,2,964,2,801
ressemble,2,965,1,1750
reste,2,966,2,804
revenir,2,967,1,1757
ridicule,2,968,1,1771
risque,2,969,1,1775
rite,2,970,0,
réflexions,2,971,2,808
régulièrement,2,972,2,809
répliqua,2,973,2,810
répondait,2,974,2,811
répondre,2,975,2,812
réponse,2,976,2,813
réputation,2,977,1,1798
réveiller,2,978,1,1803
révélé,2,979,2,815
rêvasser,2,980,2,816
rêve,2,981,2,817
sahariens,2,982,2,818
salua,2,983,2,819
semaine,2,984,2,821
semblables,2,985,0,
semblant,2,986,0,
